,Name,Photo,Birds,Bees,Butterflies,Hedgehogs,Squirrels
66,Daglelie-Hemerocallis-Gentle-Shepherd,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_707_src.jpg']",,Ja,Ja,,
67,Daglelie-Hemerocallis-Pink-Damask,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/tempFileForShare_20200715-082724.jpg']",,,Ja,,
68,Daglelie-Hemerocallis-Rood,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Hemerocallis-daglelie.jpg']",,,Ja,,
69,Daglelie-Hemerocallis-Roze,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/tempFileForShare_20200715-082724.jpg']",,,Ja,,
70,Daglelie-Hemerocallis-Summer-Wine,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_642_src.jpg']",,Ja,Ja,,
71,Darwins-zuurbes-Berberis-darwinii,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/image1.jpeg']",Ja,,,,
72,Dik-vetkruid-Sedum-dasyphyllum,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_122_src.jpg']",Ja,Ja,Ja,,
73,Doornloze-braam-Rubus-fruticosus-Black-Satin,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/BlackSatin-Rubus-Braam.jpeg']",,Ja,,,
74,Dovenetel-Lamium-garganicum,['https://cdn.zilvercms.nl/q80/http://yarinde.zilvercdn.nl/uploads/photo/img-fallback-image.png'],Ja,Ja,,,
75,Dovenetel-Lamium-orvala,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3332_src.jpg']",Ja,Ja,,,
76,Dovenetel-Lamium-orvala-Album,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3685_src.jpg']",Ja,Ja,,,
77,Drents-krentenboompje-Amelanchier-laevis,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/amelanchier-laevis_src.jpg']",Ja,,,,
78,Dropplant-Agastache-Firebird,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/dropplant-firebird.jpg']",,Ja,Ja,,
79,Dropplant-Agastache-barberi-Firebird,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/product_2446_src.png']",,Ja,Ja,,
80,Dropplant-Agastache-mexicana-Mauve-Beauty,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_4074_src.jpg']",,Ja,Ja,,
81,Dropplant-Agastache-urticifolia,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Dropplant-winterharde-borderplant-geuren.png']",,Ja,Ja,,
82,Duifkruid-Scabiosa-columbaria,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Duifkruid-paarse-tuinplant-vaste-plant-bloei.png']",,Ja,Ja,,
83,Duizendblad-Achillea,"[""https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Gewoon-duizendblad-Achillea-millefolium-'Paprika'.jpeg""]",Ja,Ja,Ja,,
84,Duizendblad-Achillea-Coronation-Gold,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Coronation-Gold-duizendblad_Easy-Resize.com.jpg']",Ja,,Ja,,
85,Duizendblad-Achillea-Credo,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Crede-ook-soort-duizendblad_1.jpg']",Ja,,Ja,,
86,Duizendblad-Achillea-Feuerland,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Achillea-oranje_Easy-Resize.com.jpg']",Ja,,Ja,,
87,Duizendblad-Achillea-Hannelore-Pahl,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_581_src.jpg']",Ja,,Ja,,
88,Duizendblad-Achillea-Martina,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_744_src.jpg']",Ja,,,,
89,Duizendblad-Achillea-Moonshine,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2311_src.jpg']",Ja,,Ja,,
90,Duizendblad-Achillea-Taygetea,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_294_src.jpg']",Ja,,Ja,,
91,Duizendblad-Achillea-Terracotta,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3753_src.jpg']",Ja,,,,
92,Duizendblad-Achillea-Yellow,"[""https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Duizendblad-Achillea-'Yellow'.png""]",Ja,Ja,Ja,,
